        id    income    aspect  subscriptions  dist_healthy  save_rate  dist_unhealthy       age  pop_dense  retail_dense     crime product  job_11  job_al  job_am  job_ax  job_bf  job_by  job_cv  job_de  job_dz  job_e2  job_f8  job_gj  job_gv  job_kd  job_ke  job_kl  job_kp  job_ks  job_kw  job_mm  job_nb  job_nn  job_ob  job_pe  job_po  job_pq  job_pz  job_qp  job_qw  job_rn  job_sa  job_vv  job_zz  area_a  area_b  area_c  area_d
0        1 -0.607550 -0.664918      -0.208449      9.017895  -0.215764       11.738935  0.854321   0.885827      0.492126  0.071100       b   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False    True   False   False   False    True   False
1        2  0.338053 -0.207748       0.839031      7.766643   0.196869        6.805396  1.394432   0.874016      0.342520  0.400809       c   False   False   False   False   False   False   False   False   False   False   False   False   False    True   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False    True   False
2        3 -0.184205  1.127906      -0.208449      3.632069  -0.714362       13.671772 -0.495957   0.944882      0.724409  0.207723       b   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False    True   False   False   False   False   False   False   False   False   False   False   False    True   False
3        4 -0.526467 -0.440815      -0.208449      5.372942  -0.542432        4.333286  1.124377   0.889764      0.444882  0.361216       b    True   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False    True   False
4        5 -2.851675  1.638861       1.886511      3.822477  -0.473660        5.967121 -2.116291   0.744094      0.661417  0.068033       a   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False    True   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False    True
5        6  1.382469  1.594040      -0.208449     14.893343   0.678274       20.340593 -0.766013   0.866142      0.673228  0.473581       d   False   False   False   False   False   False   False   False   False    True   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False    True   False
6        7 -1.817817  0.814162       1.886511      3.822477  -0.250150        9.480399 -1.846235   0.976378      0.874016  0.092151       f   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False    True   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False    True
7        8 -0.180619  0.482489       0.839031      4.312097  -0.525239       29.219896 -0.495957   1.000000      0.724409  0.162833       b   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False    True   False   False   False   False   False   False   False   False   False   False   False   False    True   False   False   False
8        9  1.029549  0.930695      -1.255928     25.093772   2.088104       10.927357 -0.225902   0.952756      0.681102  0.096333       c   False    True   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False    True   False
9       10  0.634394  1.414758      -0.208449      2.816034  -0.765942       21.915695 -1.036069   0.897638      0.724409  0.173986       c   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False   False    True   False   False   False   False   False   False   False   False   False    True   False   False   False
