,id,income,aspect,subscriptions,dist_healthy,save_rate,dist_unhealthy,age,pop_dense,retail_dense,crime,job_11,job_al,job_am,job_ax,job_bf,job_by,job_cv,job_de,job_dz,job_e2,job_f8,job_gj,job_gv,job_kd,job_ke,job_kl,job_kp,job_ks,job_kw,job_mm,job_nb,job_nn,job_ob,job_pe,job_po,job_pq,job_pz,job_qp,job_qw,job_rn,job_sa,job_vv,job_zz,area_a,area_b,area_c,area_d,product_a,product_b,product_c,product_d,product_e,product_f,product_g
0,1,50876.0,13.1,1,9.017895490336436,35,11.738934944499087,49,0.8858267716535433,0.4921259842519685,0.0710999581764951,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,2,60369.0,18.625,2,7.766642806012884,59,6.805395531825207,51,0.8740157480314961,0.3425196850393701,0.4008085877596543,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,3,55126.0,34.766666666666666,1,3.632068718682892,6,13.671771813966558,44,0.9448818897637796,0.7244094488188977,0.2077234072215251,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
3,4,51690.0,15.808333333333332,1,5.37294201861131,16,4.333286497119573,50,0.889763779527559,0.4448818897637795,0.3612156698731353,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
4,5,28347.0,40.94166666666666,3,3.822476735862563,20,5.967120977940144,38,0.7440944881889764,0.6614173228346457,0.0680329011571169,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
5,6,70854.0,40.4,1,14.893342877594849,87,20.34059294646621,43,0.8661417322834646,0.6732283464566929,0.4735814861285375,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
6,7,38726.0,30.975,3,3.822476735862563,33,9.480399044541238,39,0.9763779527559056,0.8740157480314961,0.0921511222640457,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
7,8,55162.0,26.96666666666667,2,4.31209735146743,17,29.21989602360545,44,1.0,0.7244094488188977,0.1628328453924439,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
8,9,67311.0,32.38333333333333,0,25.09377236936292,169,10.927357032457495,45,0.952755905511811,0.6811023622047244,0.096333472745016,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
9,10,63344.0,38.23333333333333,1,2.816034359341446,3,21.915694815231134,42,0.8976377952755905,0.7244094488188977,0.1739857800083647,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
