id,job,area,income,aspect,subscriptions,dist_healthy,save_rate,dist_unhealthy,age,pop_dense,retail_dense,crime,product
1,kl,d,28347,40.9417,3,3.8225,20,5.9671,38,.7441,.6614,.0680,a
2,dz,c,45916,21.4417,1,6.0802,16,13.3354,49,.9567,.5551,.3584,a
3,bf,d,39363,17.4333,2,10.8132,137,7.6704,50,.8858,.3976,.1248,a
4,bf,d,29339,22.0917,3,3.8225,8,6.0098,48,.9331,.4685,.1089,a
5,dz,c,47227,22.3083,0,8.5827,91,11.4346,48,.9567,.5984,.3722,a
6,dz,d,37734,23.8250,4,4.5841,51,4.0877,45,.9449,.5472,.1561,a
7,dz,c,40391,6.2750,2,7.1682,54,6.9763,45,.7717,.4843,.1554,a
8,dz,c,42799,24.8000,2,4.9377,23,7.3820,46,.9882,.6417,.2101,a
9,kl,d,30508,35.2000,4,8.5827,119,9.1814,32,.8465,.9291,.0922,a
10,bf,d,40745,5.9500,1,7.7666,42,7.1631,45,.8150,.5276,.0467,a
11,dz,d,37450,14.0750,2,9.5347,92,6.7787,51,.7795,.2598,.1205,a
12,kl,d,35786,39.6417,3,4.5841,43,3.1533,36,.7598,.7283,.0173,a
13,bf,d,37946,25.4500,0,12.7445,69,7.1258,47,.9606,.6339,.1927,a
14,dz,c,46023,17.1083,2,7.7122,57,10.7298,51,.8583,.3386,.3555,a
15,kl,d,34865,12.5583,2,9.5347,26,6.8054,50,.7795,.2992,.0976,a
16,by,c,37840,26.5333,0,9.3443,59,4.0236,46,.9646,.6496,.0954,a
17,ax,d,26009,16.3500,4,8.9635,123,3.5751,52,.7362,.1220,.0717,a
18,dz,c,49034,25.0167,2,8.9363,137,17.2491,46,.9921,.6496,.1889,a
19,kl,d,27780,36.1750,3,4.5841,62,4.8832,35,.8583,.8701,.0436,a
20,dz,d,34192,18.3000,2,5.3729,49,5.9778,51,.8661,.3307,.0887,a
21,kl,c,44995,6.2750,2,8.5827,53,4.5842,45,.7835,.4961,.1474,a
22,kl,d,33129,37.4750,3,6.0802,-14,8.4926,36,.8307,.8228,.1429,a
23,kl,d,38690,41.9167,3,16.6886,222,7.7878,39,.7126,.6024,.0360,a
24,kl,d,38124,42.3500,3,15.8726,206,7.8038,40,.7165,.5827,.0301,a
25,kl,d,35077,8.8750,3,9.5347,155,7.0991,47,.6850,.3031,.1966,a
26,dz,c,39965,16.7833,1,6.4066,16,3.3669,49,.9094,.4843,.1451,a
27,kl,d,30791,8.2250,4,5.6450,81,7.8679,43,.5276,.1811,.2159,a
28,by,d,33235,14.5083,2,5.2641,66,9.8488,51,.7756,.2362,.1012,a
29,dz,c,38301,12.5583,2,6.8962,77,4.5842,50,.7638,.2756,.1301,a
30,kl,d,36813,40.2917,1,13.5333,194,9.7313,42,.8583,.6811,.0763,a
31,by,c,43508,11.2583,0,18.0215,18,8.4392,48,.8898,.5197,.2095,a
32,kl,d,34652,30.7583,1,12.3092,-119,2.3577,44,.9764,.7441,.0639,a
33,bf,d,41453,5.3000,1,8.9635,62,6.9335,45,.8425,.5630,.0609,a
34,dz,c,42055,13.2083,3,10.1875,135,6.8801,50,.6850,.1339,.1207,a
35,ax,d,,16.1333,2,3.1424,19,4.9206,51,.8228,.2874,.0629,a
36,dz,c,39965,25.4500,3,6.1618,63,8.7329,45,.9882,.6614,.1386,a
37,kl,d,34581,36.1750,4,8.2019,153,8.8076,32,.8150,.8976,.0811,a
38,bf,d,36352,36.3917,2,6.6242,66,7.3447,39,.8976,.8150,.0237,a
39,kl,d,33342,42.2417,4,12.8805,126,5.6574,36,.6220,.5512,.1058,a
40,ax,d,25549,32.4917,3,3.6321,35,3.9222,35,.9331,.9331,.0859,a
