,id,income,aspect,subscriptions,dist_healthy,save_rate,dist_unhealthy,age,pop_dense,retail_dense,crime,job_11,job_al,job_am,job_ax,job_bf,job_by,job_cv,job_de,job_dz,job_e2,job_f8,job_gj,job_gv,job_kd,job_ke,job_kl,job_kp,job_ks,job_kw,job_mm,job_nb,job_nn,job_ob,job_pe,job_po,job_pq,job_pz,job_qp,job_qw,job_rn,job_sa,job_vv,job_zz,area_a,area_b,area_c,area_d,product_a,product_b,product_c,product_d,product_e,product_f,product_g
0,1,-0.6213734320318489,-0.6626494813125297,-0.20638353806877807,9.017895490336436,-0.21881987361292451,11.738934944499087,49,0.8858267716535433,0.4921259842519685,0.0710999581764951,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,2,0.332963772984666,-0.2052200986022924,0.8420889815319659,7.766642806012884,0.19055840802937302,6.805395531825207,51,0.8740157480314961,0.3425196850393701,0.4008085877596543,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,3,-0.19411828388898697,1.1311912351982045,-0.20638353806877807,3.632068718682892,-0.713485297264034,13.671771813966558,44,0.9448818897637796,0.7244094488188977,0.2077234072215251,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
3,4,-0.5395415048346043,-0.43841939174868794,-0.20638353806877807,5.37294201861131,-0.54291101324641,4.333286497119573,50,0.889763779527559,0.4448818897637795,0.3612156698731353,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
4,5,-2.886227839681387,1.6424358394037635,1.89056150113271,3.822476735862563,-0.47468129963936045,5.967120977940144,38,0.7440944881889764,0.6614173228346457,0.0680329011571169,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
5,6,1.3870273561088795,1.5975898214909954,-0.20638353806877807,14.893342877594849,0.6681664032787201,20.34059294646621,43,0.8661417322834646,0.6732283464566929,0.4735814861285375,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
6,7,-1.8428205026049718,0.8172691098088262,1.89056150113271,3.822476735862563,-0.2529347304164493,9.480399044541238,39,0.9763779527559056,0.8740157480314961,0.0921511222640457,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
7,8,-0.19049918145765918,0.48540857725434045,0.8420889815319659,4.31209735146743,-0.5258535848446476,29.21989602360545,44,1.0,0.7244094488188977,0.1628328453924439,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
8,9,1.0308473584923712,0.9338687563820237,-1.254856057669522,25.09377236936292,2.0668755322232366,10.927357032457495,45,0.952755905511811,0.6811023622047244,0.096333472745016,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
9,10,0.6320423766846693,1.4182057498399214,-0.20638353806877807,2.816034359341446,-0.7646575824693211,21.915694815231134,42,0.8976377952755905,0.7244094488188977,0.1739857800083647,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
10,11,-0.4113649603917457,-0.8599719601287102,-1.254856057669522,8.963493199713671,-0.2017624452111621,12.491780244485035,48,0.8779527559055118,0.5118110236220472,0.383382127422278,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
11,12,-1.120005322570342,0.027979194544102734,-0.20638353806877807,6.08017179670723,-0.54291101324641,13.335394126738796,49,0.9566929133858268,0.5551181102362205,0.3584274362191552,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
12,13,-0.1335988487873392,-0.456357798913795,0.8420889815319659,9.289906943450251,0.6852238316804825,8.028101728256289,51,0.84251968503937,0.3425196850393701,0.0503276174543426,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
13,14,0.12999244496103346,-1.2366785105959646,-0.20638353806877807,6.760200429491769,-0.2529347304164493,23.59758325136996,45,0.8149606299212598,0.5236220472440944,0.1463822668339607,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
14,15,0.25103131516432897,1.2926368996841708,-0.20638353806877807,10.024337866857552,-1.0034615800939948,15.519179429534915,44,0.9291338582677166,0.7125984251968503,0.1948975324132162,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
15,16,-0.5003345618285534,-0.21418930218484614,0.8420889815319659,4.937723693629206,-0.33822187242526125,14.05086412814388,50,0.8976377952755905,0.4015748031496063,0.2081416422696222,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
16,17,-0.147773666643373,-1.0393560317797836,0.8420889815319659,6.62419470293486,-0.11647530320235013,11.322467331740905,46,0.7047244094488189,0.3425196850393701,0.3605186114596403,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
17,18,-1.4404969489890345,0.045917601709210235,-0.20638353806877807,2.0,-0.8158298676746084,10.083743150203738,48,0.9566929133858268,0.5748031496062992,0.0975881778893071,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
